room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3997572,1805868,Private room,,Jamaica Plain,2,5.0,2,1.0,97.0,1,42.314499,-71.112232,2014-09-25 09:05:18.628
4000384,10910804,Private room,,Jamaica Plain,5,5.0,2,1.0,108.0,1,42.316329,-71.099096,2014-09-25 09:01:54.442
4004152,2830216,Entire home/apt,,South End,3,4.5,2,1.0,160.0,1,42.342782,-71.071463,2014-09-25 08:22:49.371
4007906,20781640,Private room,,Roxbury,5,5.0,2,1.0,159.0,1,42.337873,-71.078778,2014-09-25 09:50:31.959
4012447,8011471,Entire home/apt,,Roxbury,0,,4,2.0,222.0,3,42.326958,-71.090152,2014-09-25 09:18:06.288
4013914,20763940,Entire home/apt,,South End,1,,4,2.0,171.0,1,42.342089,-71.072279,2014-09-25 08:41:18.142
4015972,14303759,Private room,,Jamaica Plain,8,5.0,2,1.0,46.0,1,42.32162,-71.10551,2014-09-25 08:46:21.003
4016585,6371665,Private room,,Allston,1,4.0,1,1.0,63.0,1,42.350181,-71.133078,2014-09-25 09:37:30.012
4020650,17194624,Entire home/apt,,Back Bay,4,5.0,1,0.0,102.0,2,42.352273,-71.082567,2014-09-25 09:21:56.159
4021522,25188,Entire home/apt,,Chinatown,1,5.0,4,2.0,421.0,7,42.350724,-71.062531,2014-09-25 08:04:15.199
4024558,8520684,Entire home/apt,,Back Bay,2,2.0,2,0.0,177.0,1,42.350966,-71.084437,2014-09-25 09:56:21.128
4025194,1480518,Private room,,Roslindale,6,5.0,2,1.0,86.0,1,42.293424,-71.120507,2014-09-25 08:49:31.270
4025268,449295,Private room,,Jamaica Plain,0,,2,1.0,102.0,1,42.312715,-71.099429,2014-09-25 09:26:57.244
4025389,7090599,Private room,,Fenway,0,,2,1.0,79.0,1,42.342565,-71.086389,2014-09-25 08:17:49.849
4025791,19819857,Private room,,Allston,3,4.5,2,1.0,86.0,1,42.347675,-71.134242,2014-09-25 09:32:33.311
4029296,9419684,Entire home/apt,,Chinatown,0,,5,2.0,470.0,3,42.351608,-71.061667,2014-09-25 08:52:53.594
4030229,5258835,Entire home/apt,,North End,1,5.0,2,1.0,285.0,3,42.361728,-71.052856,2014-09-25 08:06:24.121
4032189,18864480,Entire home/apt,,North End,0,,2,1.0,228.0,3,42.36325,-71.053481,2014-09-25 09:31:12.004
4032756,20907980,Entire home/apt,,Beacon Hill,0,,2,1.0,192.0,2,42.36057,-71.068173,2014-09-25 10:00:19.982
4034018,20915681,Private room,,North End,0,,2,1.0,251.0,1,42.365393,-71.055348,2014-09-25 09:50:41.158
4038428,9419684,Entire home/apt,,West End,0,,3,1.0,375.0,3,42.365484,-71.068503,2014-09-25 08:09:46.991
4039119,16121988,Private room,,South Boston Waterfront,2,5.0,2,1.0,204.0,1,42.348978,-71.050737,2014-09-25 09:40:55.335
4039809,6634143,Entire home/apt,,Back Bay,2,4.5,4,0.0,165.0,1,42.353264,-71.079277,2014-09-25 09:03:12.229
4039843,4842537,Private room,,Allston,2,5.0,2,1.0,165.0,1,42.347746,-71.138975,2014-09-25 09:19:55.411
4040055,20946625,Entire home/apt,,Beacon Hill,4,4.5,3,2.0,331.0,2,42.358404,-71.067136,2014-09-25 08:57:35.352
4040151,9419684,Entire home/apt,,Fenway,0,,5,2.0,470.0,3,42.345789,-71.100299,2014-09-25 09:45:04.307
4044840,9419684,Entire home/apt,,South End,1,5.0,3,1.0,375.0,3,42.344999,-71.078029,2014-09-25 08:15:26.171
4051821,3645976,Private room,,South End,2,5.0,2,1.0,143.0,1,42.342063,-71.08026,2014-09-25 08:51:41.376
4052238,3928412,Entire home/apt,,Charlestown,0,,6,2.0,284.0,1,42.373117,-71.062379,2014-09-25 08:03:01.388
4053388,5470676,Private room,,Beacon Hill,0,,4,1.0,217.0,1,42.360341,-71.065737,2014-09-25 09:09:08.049
4053612,21021264,Entire home/apt,,Leather District,2,5.0,4,2.0,685.0,1,42.351322,-71.057655,2014-09-25 08:50:46.942
4054079,20912254,Entire home/apt,,Jamaica Plain,0,,2,0.0,114.0,2,42.316547,-71.104395,2014-09-25 08:27:02.480
4056545,19468321,Private room,,Charlestown,0,,2,1.0,91.0,1,42.380269,-71.070975,2014-09-25 09:50:27.596
4056586,5592502,Private room,,Fenway,1,4.0,2,1.0,136.0,1,42.344636,-71.098228,2014-09-25 08:01:03.710
4057840,3928412,Private room,,Charlestown,0,,2,1.0,170.0,1,42.371407,-71.062155,2014-09-25 09:58:07.090
4061059,21063555,Entire home/apt,,Allston,2,5.0,6,0.0,227.0,2,42.366476,-71.121735,2014-09-25 09:04:39.479
4061424,9770603,Entire home/apt,,Back Bay,0,,2,0.0,137.0,2,42.344749,-71.084398,2014-09-25 09:58:11.176
4063736,21077213,Entire home/apt,,Beacon Hill,2,5.0,2,1.0,285.0,1,42.357279,-71.071688,2014-09-25 10:02:06.308
4064241,21079345,Entire home/apt,,Back Bay,1,5.0,2,0.0,177.0,2,42.353268,-71.073629,2014-09-25 09:58:24.712
4064896,25188,Entire home/apt,,Downtown,1,4.0,2,1.0,274.0,4,42.355993,-71.060133,2014-09-25 09:01:52.020
4064992,25188,Entire home/apt,,Downtown,0,,2,1.0,274.0,4,42.356034,-71.059888,2014-09-25 09:49:09.717
4065072,25188,Entire home/apt,,Downtown,0,,2,0.0,273.0,4,42.355936,-71.05996,2014-09-25 08:18:44.829
4065322,17763937,Private room,,Jamaica Plain,0,,2,1.0,80.0,1,42.309063,-71.114354,2014-09-25 08:16:15.047
4065550,21085161,Entire home/apt,,Fenway,0,,4,1.0,251.0,1,42.344801,-71.099105,2014-09-25 08:02:46.009
4065578,16779145,Entire home/apt,,Back Bay,2,5.0,3,1.0,254.0,1,42.345141,-71.081029,2014-09-25 08:16:17.185
4065732,21086008,Shared room,,Allston,0,,2,1.0,46.0,1,42.3662,-71.121229,2014-09-25 09:34:41.221
4067663,16121988,Entire home/apt,,South Boston Waterfront,0,,4,1.0,318.0,1,42.348137,-71.048604,2014-09-25 08:35:06.696
4068782,16121988,Private room,,South Boston Waterfront,1,5.0,2,1.0,216.0,1,42.348445,-71.049207,2014-09-25 09:23:30.767
4069422,12340193,Entire home/apt,,Fenway,0,,4,2.0,570.0,1,42.343873,-71.097963,2014-09-25 08:18:01.947
4069718,3166549,Entire home/apt,,South Boston Waterfront,1,4.0,2,0.0,113.0,1,42.346783,-71.038718,2014-09-25 08:38:49.605
4069790,1519346,Entire home/apt,,Back Bay,1,4.0,2,0.0,251.0,1,42.345771,-71.080237,2014-09-25 09:17:11.375
4073057,4570824,Entire home/apt,,North End,2,5.0,3,0.0,103.0,2,42.364391,-71.051257,2014-09-25 08:44:23.030
4074995,5470676,Private room,,Beacon Hill,0,,4,1.0,211.0,1,42.360619,-71.064071,2014-09-25 09:59:51.877
4075898,20857768,Entire home/apt,,Downtown,0,,2,1.0,297.0,4,42.354481,-71.061308,2014-09-25 08:58:55.129
4077003,21146257,Private room,,North End,0,,2,1.0,171.0,1,42.363885,-71.054785,2014-09-25 09:38:21.722
4078017,21152790,Private room,,Beacon Hill,2,5.0,2,1.0,171.0,3,42.358225,-71.070007,2014-09-25 09:33:24.238
4080000,6331373,Private room,,East Boston,2,4.0,2,1.0,74.0,1,42.386619,-71.005257,2014-09-25 09:02:09.630
4081585,12216740,Private room,,Back Bay,1,5.0,2,1.0,228.0,2,42.34786,-71.08198,2014-09-25 09:25:19.272
4085362,3164508,Private room,,Roslindale,0,,2,1.0,80.0,1,42.281749,-71.140318,2014-09-25 08:54:35.651
4089940,20857768,Entire home/apt,,North End,0,,2,1.0,291.0,4,42.365956,-71.052682,2014-09-25 08:37:57.401
4090224,17783651,Entire home/apt,,South Boston,0,,4,2.0,165.0,1,42.335697,-71.053944,2014-09-25 08:52:49.910
4092068,825370,Entire home/apt,,Back Bay,2,5.0,2,1.0,284.0,1,42.351335,-71.076259,2014-09-25 09:20:25.977
4096710,17835189,Entire home/apt,,Beacon Hill,0,,4,1.0,205.0,1,42.360412,-71.06849,2014-09-25 09:35:54.479
4097542,21253207,Private room,,Allston,2,4.5,2,1.0,80.0,2,42.357825,-71.124503,2014-09-25 07:58:48.011
4098410,11487565,Private room,,Jamaica Plain,0,,2,1.0,136.0,1,42.305088,-71.107358,2014-09-25 08:49:44.098
4100254,16479946,Entire home/apt,,South Boston,0,,6,2.0,399.0,3,42.335158,-71.032204,2014-09-25 09:17:32.373
4102529,15693451,Private room,,Roxbury,0,,2,1.0,68.0,1,42.326206,-71.082705,2014-09-25 09:03:08.523
4103249,7048825,Entire home/apt,,Roxbury,0,,3,1.0,154.0,1,42.318046,-71.078536,2014-09-25 08:36:12.096
4103863,9189449,Private room,,Allston,0,,1,1.0,86.0,1,42.352122,-71.142332,2014-09-25 09:28:28.226
4105417,10636047,Private room,,North End,0,,2,1.0,160.0,1,42.364742,-71.053321,2014-09-25 09:37:48.538
4106210,757253,Private room,,Allston,1,5.0,2,1.0,97.0,2,42.353313,-71.125849,2014-09-25 09:50:47.425
4106300,757253,Private room,,Allston,0,,4,1.0,148.0,2,42.354224,-71.127612,2014-09-25 08:25:21.378
4106372,757253,Entire home/apt,,Allston,0,,7,2.0,262.0,2,42.352662,-71.126248,2014-09-25 09:04:56.414
4108568,21315927,Entire home/apt,,Back Bay,0,,2,1.0,285.0,1,42.349338,-71.083219,2014-09-25 08:08:00.430
4109165,9419684,Entire home/apt,,Fenway,0,,3,1.0,381.0,3,42.344677,-71.101059,2014-09-25 08:51:30.382
4112747,21339803,Private room,,Dorchester,0,,1,1.0,114.0,1,42.288304,-71.045269,2014-09-25 08:50:19.698
4112787,19778177,Entire home/apt,,Charlestown,1,4.0,4,1.0,181.0,1,42.374643,-71.051998,2014-09-25 09:12:20.459
4113307,12097454,Entire home/apt,,Fenway,0,,2,1.0,171.0,1,42.345361,-71.095029,2014-09-25 09:16:05.412
4118162,20857768,Entire home/apt,,Downtown,0,,2,1.0,297.0,4,42.356306,-71.06134,2014-09-25 09:11:51.379
4119345,1414385,Entire home/apt,,Jamaica Plain,0,,8,3.0,456.0,3,42.311619,-71.109102,2014-09-25 08:19:45.745
4126888,21407622,Entire home/apt,,Fenway,1,4.0,4,1.0,314.0,1,42.343145,-71.099458,2014-09-25 09:21:31.658
4132983,9419684,Entire home/apt,,Back Bay,0,,5,2.0,470.0,3,42.346026,-71.079917,2014-09-25 08:57:10.559
4135172,9419684,Entire home/apt,,Chinatown,0,,3,1.0,390.0,7,42.350646,-71.062665,2014-09-25 07:57:07.154
4140548,7432268,Entire home/apt,,Back Bay,0,,2,0.0,211.0,3,42.349761,-71.086909,2014-09-25 07:57:10.137
4141051,11487565,Private room,,Jamaica Plain,0,,2,1.0,112.0,1,42.326278,-71.098746,2014-09-25 10:03:31.225
4143561,9419684,Entire home/apt,,South End,0,,5,2.0,470.0,3,42.344996,-71.078017,2014-09-25 09:37:22.486
4148586,3588191,Entire home/apt,,Back Bay,0,,2,1.0,148.0,1,42.353301,-71.072722,2014-09-25 08:49:27.683
4150640,20857768,Entire home/apt,,North End,0,,2,0.0,291.0,4,42.367395,-71.052401,2014-09-25 08:52:43.723
4151616,8439306,Entire home/apt,,East Boston,0,,3,2.0,171.0,1,42.371453,-71.036142,2014-09-25 08:27:20.126
4157417,6187882,Entire home/apt,,Allston,0,,2,0.0,217.0,1,42.359556,-71.11763,2014-09-25 09:53:54.898
4160452,5837917,Entire home/apt,,East Boston,0,,3,1.0,91.0,1,42.367951,-71.038573,2014-09-25 09:35:04.838
4163678,1952112,Entire home/apt,,Charlestown,0,,4,1.0,137.0,1,42.377977,-71.059973,2014-09-25 08:42:51.072
4165068,6905088,Entire home/apt,,East Boston,0,,4,2.0,331.0,1,42.36794,-71.034889,2014-09-25 09:39:20.243
4165624,21621119,Entire home/apt,,Back Bay,0,,1,0.0,199.0,1,42.352033,-71.089493,2014-09-25 10:02:12.587
4172101,9419684,Entire home/apt,,Chinatown,0,,5,2.0,485.0,7,42.351559,-71.06247,2014-09-25 08:29:58.211
4173044,21653638,Entire home/apt,,Back Bay,0,,3,1.0,251.0,1,42.351353,-71.088408,2014-09-25 10:00:23.829
4177233,21674032,Private room,,Dorchester,0,,2,1.0,86.0,1,42.318251,-71.057889,2014-09-25 08:36:19.586
4178790,1444340,Entire home/apt,,South End,0,,6,2.0,258.0,2,42.33746,-71.074624,2014-09-25 08:47:18.226
4179835,20380894,Private room,,West End,0,,2,1.0,205.0,1,42.364492,-71.069191,2014-09-25 09:00:09.108
4180660,15693451,Private room,,Roxbury,0,,2,1.0,68.0,1,42.32674,-71.084163,2014-09-25 09:27:18.580
4181163,9419684,Entire home/apt,,Fenway,0,,5,2.0,470.0,3,42.344076,-71.100437,2014-09-25 09:22:32.729
4183090,15693451,Private room,,Roxbury,0,,2,1.0,68.0,1,42.32704,-71.081919,2014-09-25 08:20:11.080
